super_catalog_id,vendor_id,original_min,original_max,new_min,new_max,original_diff,new_diff
7509546682471,1156,15.8301,15.59,15.434099999999999,15.8301,0.24009999999999998,0.3960000000000008
7509546682334,1156,20.3049,15.59,15.434099999999999,20.3049,4.7149,4.870800000000001
7501103305878,1156,17.9784,17.89,17.711100000000002,17.9784,0.08840000000000003,0.26729999999999876
7501943489004,1156,8.1279,7.45,7.3755,8.1279,0.6779000000000002,0.7524000000000006
7506425606931,1156,11.5137,10.65,10.5435,11.5137,0.8636999999999997,0.9702000000000002
7501463320047,1156,28.5516,28.49,28.205099999999998,28.5516,0.0616000000000021,0.3465000000000025
7501463320054,1156,29.1357,28.69,28.403100000000002,29.1357,0.44569999999999865,0.7325999999999979
729513100624,1156,60.6078,60.07,59.4693,60.6078,0.5377999999999972,1.1385000000000005
7501701400821,1156,1633.2327,1554.0,1538.46,1633.2327,79.23270000000002,94.77269999999999
8903855083698,1156,234.4221,225.52,223.2648,234.4221,8.90209999999999,11.157299999999992
7503032208718,1156,328.83840000000004,315.48,312.3252,328.83840000000004,13.358400000000017,16.51320000000004
37836050312,1156,44.9559,42.84,42.4116,44.9559,2.1158999999999963,2.5443
7506205810046,1156,707.0382,694.14,687.1985999999999,707.0382,12.898199999999974,19.83960000000002
7506205813283,1156,1048.2219,989.04,979.1496,1048.2219,59.18190000000004,69.07230000000004
7503013040337,1156,1073.1204,1018.73,1008.5427,1073.1204,54.3904,64.57770000000005
7501058625199,1156,165.5379,163.33,161.69670000000002,165.5379,2.207899999999995,3.8411999999999864
7613033036989,1156,330.5709,313.52,310.3848,330.5709,17.050900000000013,20.18610000000001
7501059278578,1156,244.6092,231.98,229.66019999999997,244.6092,12.629199999999997,14.949000000000012
7506475100229,1156,246.9852,246.24,243.7776,246.9852,0.7451999999999828,3.207599999999985
7501059242258,1156,246.8763,246.12,243.6588,246.8763,0.7562999999999818,3.2174999999999727
7501228300253,1156,1147.2416999999998,1138.29,1126.9071,1147.2416999999998,8.951699999999846,20.33459999999991
7501165011403,1156,128.02679999999998,120.78,119.5722,128.02679999999998,7.246799999999979,8.454599999999985
3664798040548,1156,1088.1684,1062.92,1052.2908,1088.1684,25.248399999999947,35.87760000000003
7501385420504,1156,644.9256,614.72,608.5728,644.9256,30.205600000000004,36.3528
7501287670304,1156,644.3018999999999,636.21,629.8479,644.3018999999999,8.091899999999896,14.45399999999995
7501287670953,1156,680.2092,675.11,668.3589000000001,680.2092,5.099199999999996,11.850299999999947
7501037950519,1156,1274.1993,1268.54,1255.8546,1274.1993,5.65930000000003,18.344700000000103
4019338605869,1156,236.808,228.47,226.18529999999998,236.808,8.337999999999994,10.622700000000009
7501303444513,1156,4190.0265,3773.52,3735.7848,4190.0265,416.50649999999996,454.24170000000004
48526000807,1156,25.5024,16.85,16.6815,25.5024,8.6524,8.820900000000002
7730979097673,1156,2070.0801,2010.57,1990.4642999999999,2070.0801,59.51010000000019,79.61580000000026
7730979097666,1156,2109.5811,2094.34,2073.3966,2109.5811,15.241099999999733,36.184499999999844
7730766000527,1156,1168.6059,1130.66,1119.3534,1168.6059,37.94589999999994,49.252500000000055
7501174603309,1156,438.0948,430.98,426.6702,438.0948,7.1148000000000025,11.424599999999998
7501314705450,1156,198.7623,193.2,191.268,198.7623,5.562300000000022,7.49430000000001
7501059225237,1156,294.7527,293.85,290.91150000000005,294.7527,0.9026999999999816,3.841199999999958
48526055036,1156,54.2718,34.29,33.9471,54.2718,19.9818,20.3247
48526003327,1156,22.8096,15.62,15.463799999999999,22.8096,7.1896,7.3458000000000006
7501871730315,1156,703.7712,694.15,687.2085,703.7712,9.621200000000044,16.562700000000063
7501871730339,1156,746.5193999999999,721.59,714.3741,746.5193999999999,24.929399999999873,32.14529999999991
7501871730322,1156,744.6483,721.59,714.3741,744.6483,23.058299999999917,30.27419999999995
3701217201699,1156,383.0805,379.76,375.9624,383.0805,3.3204999999999814,7.11809999999997
3701217201781,1156,586.674,548.71,543.2229,586.674,37.96399999999994,43.4511
3701217201705,1156,210.8502,204.35,202.3065,210.8502,6.500200000000007,8.543700000000001
7501044216509,1156,81.279,57.32,56.7468,81.279,23.958999999999996,24.532199999999996
7501070636531,1156,803.0286,764.94,757.2906,803.0286,38.08859999999993,45.73799999999994
300653610824,1156,178.41582,173.35,171.6165,178.41582,5.065820000000002,6.7993199999999945
7501086300143,1156,136.4814,128.71,127.42290000000001,136.4814,7.7714,9.058499999999995
13117011531,1156,177.7545,148.55,147.0645,177.7545,29.204499999999996,30.689999999999998
13117019926,1156,146.0349,118.06,116.8794,146.0349,27.97489999999999,29.15549999999999
13117000689,1156,159.6078,124.77,123.5223,159.6078,34.8378,36.085499999999996
13117019971,1156,260.469,199.84,197.8416,260.469,60.62899999999999,62.627399999999994
13117000696,1156,185.9418,138.35,136.9665,185.9418,47.591800000000006,48.975300000000004
