"point_of_sale_id","super_catalog_id","unidades_pedidas","precio_minimo"
1588,"073796801212",1.000,915.000
1589,"073796801212",1.000,915.000
1590,"073796801212",3.000,915.000
1679,"073796801212",1.000,896.700
1590,"073796803216",1.000,840.970
1589,"074108366559",6.000,46.580
1590,"074108389411",1.000,38.330
1589,"074108672001",8.000,46.580
1588,"074108884015",1.000,46.580
1590,"074108884015",1.000,46.580
1589,"074108935007",5.000,25.350
1588,"075486088637",3.000,202.150
1588,"075486089139",1.000,194.810
1589,"075486089139",1.000,194.810
1588,"075486089191",1.000,222.460
1589,"075486091644",1.000,222.460
1182,"0762860013476",4.000,439.650
1182,"0762860013483",4.000,439.650
1588,"077043102336",2.000,65.020
1589,"077043102336",1.000,65.020
1182,"0780083140663",20.000,20.170
1182,"0780083141066",20.000,20.190
1182,"0780083141226",10.000,37.040
1182,"0780083141585",10.000,14.670
1182,"0780083141875",5.000,26.890
1182,"0780083141929",20.000,22.490
1182,"0780083142537",2.000,33.390
1182,"0780083142605",30.000,36.160
1182,"0780083143275",10.000,22.220
1182,"0780083144302",10.000,28.090
1182,"0780083144807",10.000,19.090
1182,"0780083146207",12.000,19.090
1182,"0780083148683",10.000,7.320
1182,"0780083148805",40.000,19.140
1182,"0780083148843",30.000,15.190
1182,"0780083148898",10.000,12.960
1182,"0780083148928",5.000,43.210
1182,"0780083148935",5.000,22.490
1182,"0780083148966",10.000,13.890
1182,"0780083149178",30.000,25.000
1182,"0780083149185",10.000,43.690
1182,"0780083150013",10.000,24.190
1182,"0785118752941",5.000,58.290
1182,"0785118752965",30.000,17.400
1182,"0785118753757",10.000,35.690
1182,"0785118753771",10.000,24.400
1182,"0785118753818",40.000,17.860
1182,"0785118753825",40.000,28.580
1182,"0785118753962",15.000,69.050
1182,"0785118753979",10.000,54.990
1182,"0785118754204",30.000,45.390
1182,"0785118754235",5.000,24.690
1182,"0785118754259",15.000,39.290
1182,"0785118754280",10.000,30.990
1182,"0785118754297",12.000,30.000
1182,"0785120753349",10.000,57.190
1182,"0785120754254",10.000,29.760
1182,"0785120754483",10.000,66.990
1182,"0785120754759",10.000,9.370
1182,"0785120754766",20.000,8.330
1182,"0785120754810",20.000,23.990
1182,"0785120754841",24.000,41.290
1182,"0785120754858",10.000,38.620
1182,"0785120755022",10.000,22.790
1182,"0785120755046",10.000,45.130
1681,"0788115529752",1.000,301.590
1589,"079656526172",2.000,194.540
1589,"079656540574",1.000,213.710
1588,"079656540604",1.000,213.710
1590,"079656540604",1.000,213.710
1114,"080376020215",1.000,160.960
1588,"080376020222",1.000,160.960
1238,"080376020901",1.000,222.940
1291,"080376020918",2.000,222.940
1588,"080376020918",1.000,222.940
1182,"0821998000571",5.000,25.680
1114,"083078003616",2.000,36.870
1589,"083078003616",3.000,33.180
1590,"083078003616",2.000,36.870
1589,"083078003623",3.000,33.180
1114,"083078003630",3.000,36.870
1238,"083078003630",9.000,33.180
1589,"083078003630",6.000,33.180
1590,"083078003630",3.000,33.180
1588,"083078003647",4.000,33.180
1589,"083078003647",5.000,33.180
1588,"083078004644",3.000,33.180
1589,"083078004644",1.000,36.870
1588,"086141003001",2.000,20.250
1291,"086141003025",2.000,20.250
1590,"099176316732",2.000,29.840
2139,"099176316732",5.000,29.840
1101,"1210001175037",3.000,1421.300
1170,"1277078295",1.000,112.210
1741,"1306881052183",3.000,61.000
1748,"1306881052206",25.000,60.370
1749,"1306881052206",11.000,60.370
1750,"1306881052206",10.000,60.370
2075,"1306881052206",2.000,53.410
1741,"1306881052251",7.000,63.220
1748,"1306881052251",10.000,63.220
1750,"1306881052251",15.000,63.220
1741,"1306881054163",10.000,46.100
1748,"1306881054163",10.000,54.550
