,super_catalog_id,precio_minimo_orders
369,650240013898,26.33
370,650240013911,68.14
371,650240014451,214.01
372,650240014468,214.01
373,650240014598,88.74
374,650240014611,88.74
375,650240015366,70.98
376,650240015571,73.48
377,650240015670,80.47
378,650240015687,178.97
379,650240016813,83.19
380,650240017094,36.91
381,650240017100,66.69
382,650240019180,18.67
383,650240019920,38.83
384,650240019999,119.59
385,650240021763,51.98
386,650240021800,126.02
387,650240021817,126.02
388,650240021824,518.14
389,650240022173,104.4
390,650240022517,170.02
391,650240024931,198.93
392,650240025839,58.32
393,650240026003,85.75
394,650240026058,61.89
395,650240026188,82.03
396,650240026256,61.89
397,650240027482,106.63
398,650240027710,78.3
399,650240027857,260.25
400,650240028335,85.57
401,650240028748,245.29
402,650240029165,156.869
403,650240029646,80.45
404,650240030338,62.93
405,650240030536,113.56
406,650240030949,55.55
407,650240030963,55.55
408,650240031427,46.445
409,650240031502,79.64
410,650240031519,120.31
411,650240031700,39.33
412,650240032257,13.361
413,650240032264,13.36
414,650240032271,13.361
415,650240032295,13.361
416,650240032301,13.361
417,650240032325,13.361
418,650240032356,88.74
419,650240032370,88.74
420,650240032394,88.74
421,650240032400,57.315
422,650240032424,96.677
423,650240032431,110.36
424,650240032455,110.36
425,650240032462,110.36
426,650240032684,56.67
427,650240032691,42.53
428,650240033148,32.81
429,650240033155,38.78
430,650240033247,150.51
431,650240035395,13.361
432,650240035401,31.135
433,650240036187,57.5
434,650240036262,94.946
435,650240036354,42.39
436,650240036378,129.425
437,650240036385,94.61
438,650240036880,129.7
439,650240039706,176.44
440,650240039768,128.99
441,650240050398,151.886
442,650240052545,23.94
443,650240052576,148.39
444,650240053221,73.82
445,650240053610,98.4
446,650240053627,165.79
447,650240053634,62.13
448,650240055867,88.74
449,650240056765,334.82
450,650240057304,222.96
451,650240057946,14.805
452,650240062049,36.54
453,650240062063,79.25
454,650240062926,359.02
455,650240064326,19.98
456,650240064999,90.84
457,650240065293,91.3
458,650240066139,13.36
459,650240066283,13.361
460,650240066306,15.3
461,650240068652,142.88
462,650240069185,135.24
463,650240069277,115.0
464,650240069284,66.8
465,650240069789,172.14
466,650240070631,81.28
467,650240070648,88.74
468,656599010021,35.0
469,656599025223,25.21
470,656599040103,23.41
471,656599040110,39.07
472,656599040134,48.96
473,656599040226,33.48
474,656599040288,40.8
475,656599040394,89.649
476,656599040431,15.44
477,656599040608,35.75
478,656599040639,54.38
479,656599040653,25.61
480,656599040660,33.13
481,656599040769,7.81
482,656599040868,28.748
483,656599040882,17.2
484,656599040899,22.44
485,656599040998,4.79
486,656599041216,18.19
487,656599041407,18.51
488,656599044934,70.62
489,675873002057,116.94
490,675873002064,228.01
491,675873002071,116.51
492,675873002088,219.41
493,696859230332,477.65
494,696859241383,1284.59
495,699073710925,314.37
496,705928001008,330.69
497,705928045309,177.68
498,705928050754,118.49
499,705928052000,190.94
500,714706100109,93.67
501,714706100307,55.98
502,714706100901,142.28
503,714706300400,115.13
504,714706400506,69.07
505,714706800900,26.29
506,714706900006,41.77
507,714706900303,31.31
508,714706901201,33.8
509,714706901300,31.31
510,714706901409,31.31
511,714706902918,35.11
512,714706903205,98.62
513,714706903861,95.06
514,714706903878,95.06
515,714706903885,95.06
516,714706903892,95.06
517,714706904028,41.31
518,714706904035,41.31
519,714706904059,41.31
520,714706905483,15.22
521,714706905490,16.6
522,714706905506,17.3
523,714706905513,23.03
524,714706905544,23.51
525,714706905636,27.09
526,714706908705,17.73
527,714706908712,17.73
528,714706908729,17.73
529,714706908736,17.73
530,714706909313,15.79
531,714706909856,41.32
532,714706910036,25.91
533,714706910074,93.55
534,714706910487,24.45
535,714706910593,110.58
536,714706910609,66.2
537,714706910890,24.45
538,714706910906,24.45
539,714706910913,24.45
540,714908100013,34.59
541,714908100051,36.44
542,714908100099,78.04
543,714908100228,54.35
544,714908100242,62.2
545,714908100433,70.74
546,714908100686,50.62
547,714908101003,78.86
548,714908101065,47.37
549,714908101485,46.21
550,714908105483,50.0
551,714908105650,37.3
552,714908106145,83.48
553,714908106251,53.05
554,714908106329,68.14
